Station Name (LEA),State,Records
BOLLINGER COUNTY SHERIFF DEPT,MO,18
BONNE TERRE POLICE DEPT,MO,30
BOONE COUNTY SHERIFF DEPT,MO,11
BOWLING GREEN POLICE DEPT,MO,1
BRANSON POLICE,MO,2
BROOKFIELD POLICE DEPT,MO,8
BUCHANAN COUNTY SHERIFF DEPT,MO,11
BUCKNER POLICE DEPT,MO,4
BUFFALO POLICE DEPT,MO,8
BUNCETON POLICE DEPT,MO,16
BUTLER POLICE DEPT,MO,66
BYRNES MILL POLICE DEPT,MO,5
CALDWELL COUNTY SHERIFF OFFICE,MO,7
CALIFORNIA POLICE DEPT,MO,43
CALLAWAY COUNTY SHERIFF DEPT,MO,1
CAMDEN COUNTY SHERIFF DEPT,MO,4
CAMPBELL POLICE DEPT,MO,1
CAPE GIRARDEAU CTY SHERIFF OFFICE,MO,5
CARROLLTON POLICE DEPT,MO,1
CARTER COUNTY SHERIFFS OFFICE,MO,5
CARTERVILLE POLICE DEPT,MO,14
CARTHAGE POLICE DEPT,MO,13
CARUTHERSVILLE POLICE DEPT,MO,1
CASS COUNTY SHERIFF DEPT,MO,12
CEDAR COUNTY SHERIFF OFFICE,MO,18
CHRISTIAN COUNTY SHERIFF DEPT,MO,62
CLARENCE POLICE DEPT,MO,5
CLARKTON POLICE DEPT,MO,8
CLAY COUNTY RANGER DIVISION,MO,8
CLAY COUNTY SHERIFF DEPT,MO,1
CLAYTON POLICE DEPT,MO,2
CLEVELAND POLICE DEPT,MO,9
CLEVER POLICE DEPT,MO,16
CLINTON COUNTY SHERIFF DEPT,MO,1
COLE COUNTY SHERIFF DEPT,MO,14
COLUMBIA POLICE DEPT,MO,2
CONWAY POLICE DEPT,MO,2
COOPER COUNTY SHERIFF DEPT,MO,16
COTTLEVILLE POLICE DEPT,MO,1
CRANE POLICE DEPT,MO,2
CRAWFORD COUNTY SHERIFF DEPT,MO,3
CROCKER POLICE DEPT,MO,4
CRYSTAL LAKES POLICE DEPT,MO,3
CUBA POLICE DEPT,MO,12
DALLAS COUNTY SHERIFF OFFICE,MO,19
DAVIESS COUNTY SHERIFF,MO,6
DENT COUNTY SHERIFF DEPT,MO,26
DEXTER POLICE DEPT,MO,13
DIXON POLICE DEPT,MO,8
DOOLITTLE POLICE DEPT,MO,3
DOUGLAS COUNTY SHERIFF DEPT,MO,3
DUENWEG POLICE DEPARTMENT,MO,2
DUNKLIN COUNTY SHERIFF DEPT,MO,12
DUQUESNE POLICE DEPT,MO,7
EASTERN MO LAW ENFORCEMENT TRNG CTR,MO,3
EL DORADO SPRINGS POLICE DEPT,MO,26
ELDON POLICE DEPT,MO,39
ELLISVILLE POLICE DEPT,MO,5
ELLSINORE POLICE DEPT,MO,5
ELSBERRY POLICE DEPT,MO,9
EUREKA POLICE DEPT,MO,7
EVERTON POLICE DEPT,MO,1
FAIR GROVE POLICE DEPT,MO,1
FAIR PLAY POLICE DEPT,MO,1
FAYETTE POLICE DEPT,MO,4
FERGUSON POLICE DEPT,MO,2
FLORDELL HILLS POLICE DEPARTMENT,MO,1
FOLEY POLICE DEPT,MO,3
FORISTELL POLICE DEPT,MO,1
FORSYTH POLICE DEPT,MO,4
FRANKLIN COUNTY NARC ENF,MO,5
FRANKLIN COUNTY SHERIFF DEPT,MO,48
FREDERICKTOWN POLICE DEPT,MO,21
GARDEN CITY POLICE DEPT,MO,1
GASCONADE COUNTY SHERIFF DEPT,MO,6
GERALD POLICE DEPT,MO,11
GIDEON POLICE DEPARTMENT,MO,3
GLADSTONE DEPT OF PUBLIC SAFETY,MO,43
GRAIN VALLEY POLICE DEPT,MO,20
GREENE COUNTY SHERIFF DEPT,MO,2
GREENFIELD POLICE DEPT,MO,9
GREENWOOD POLICE DEPT,MO,5
HARRISONVILLE POLICE DEPT,MO,31
HARTVILLE POLICE DEPT,MO,2
HENRIETTA POLICE DEPT,MO,1
HERMANN POLICE DEPT,MO,15
HILLSDALE POLICE DEPT,MO,18
HOLDEN POLICE DEPT,MO,17
HOLLISTER POLICE DEPT,MO,24
HOLT COUNTY SHERIFF DEPT,MO,11
HOLT POLICE DEPT,MO,1
HOLTS SUMMIT POLICE DEPT,MO,21
HOWARD COUNTY SHERIFF DEPT,MO,10
HOWELL COUNTY SHERIFF DEPT,MO,39
HUMANSVILLE POLICE DEPT,MO,2
HURLEY POLICE DEPT,MO,1
IBERIA POLICE DEPT,MO,1
INDEPENDENCE POLICE DEPT,MO,8
INDIAN POINT POLICE DEPT,MO,1
IRON COUNTY SHERIFF DEPT,MO,3
IRONTON POLICE DEPT,MO,1
JACKSON COUNTY SHERIFF DEPT,MO,30
JAMESTOWN POLICE DEPT,MO,2
JASPER COUNTY SHERIFF DEPT,MO,52
JEFFERSON CITY POLICE DEPT,MO,50
JEFFERSON COLLEGE POLICE HI_ED,MO,13
JEFFERSON COUNTY SHERIFF DEPT,MO,4
JOHNSON COUNTY SHERIFF OFFICE,MO,7
JOPLIN POLICE DEPT,MO,60
KEARNEY POLICE DEPT,MO,20
KENNETT POLICE DEPT,MO,12
KIRKWOOD POLICE DEPARTMENT,MO,2
KNOBNOSTER POLICE DEPT,MO,1
KNOX COUNTY SHERIFF DEPT,MO,1
LA PLATA POLICE DEPT,MO,5
LACLEDE COUNTY SHERIFF OFFICE,MO,6
LADDONIA POLICE DEPARTMENT,MO,2
LAKE OZARK POLICE DEPT,MO,13
LAKE WINNEBAGO POLICE DEPT,MO,3
LAMAR POLICE DEPT,MO,5
LANAGAN POLICE DEPT,MO,1
LAURIE POLICE DEPARTMENT,MO,6
LAWRENCE COUNTY SHERIFF DEPT,MO,26
LEADWOOD POLICE DEPT,MO,1
LEASBURG POLICE DEPT,MO,5
LEWIS COUNTY SHERIFF OFFICE,MO,1
LEXINGTON POLICE DEPT,MO,13
LIBERAL POLICE DEPT,MO,1
LILBOURN POLICE DEPT,MO,18
LINCOLN COUNTY SHERIFF DEPT,MO,13
LINCOLN UNIVERSITY POLICE HI_ED,MO,20
LINN CREEK POLICE DEPT,MO,12
LONE JACK POLICE DEPT,MO,17
MACON COUNTY SHERIFF DEPT,MO,36
MADISON COUNTY SHERIFF DEPT,MO,18
MALDEN POLICE DEPT,MO,4
MARBLE HILL POLICE DEPT,MO,1
MARCELINE POLICE DEPT,MO,10
MARIES COUNTY SHERIFF DEPT,MO,25
MARSHALL POLICE DEPT,MO,6
MARSTON POLICE DEPT,MO,17
MARTHASVILLE POLICE DEPT,MO,1
MCDONALD COUNTY SHERIFF DEPT,MO,81
MERRIAM WOODS POLICE DEPT,MO,1
MEXICO DEPARTMENT OF PUBLIC SAFETY,MO,18
MID MO DRUG TASK FORCE,MO,41
MILLER COUNTY SHERIFF DEPT,MO,86
MILLER POLICE DEPT,MO,19
MIRAMIGUOA VILLAGE POLICE DEPT,MO,1
MISSOURI CAPITAL POLICE,MO,7
MO DEPT OF PUBLIC SAFETY,MO,172
MO SOUTHEAST DTF,MO,4
MO STATE HIGHWAY PATROL,MO,59
MOLINE ACRES POLICE DEPT,MO,1
MONITEAU COUNTY SHERIFF DEPT,MO,28
MONTGOMERY COUNTY SHERIFF DEPT,MO,1
MORGAN COUNTY SHERIFF OFFICE,MO,27
MOSCOW MILLS POLICE DEPT,MO,6
MOUNT VERNON POLICE DEPT,MO,12
MOUNTAIN GROVE POLICE DEPT,MO,1
MOUNTAIN VIEW POLICE DEPT,MO,10
MUSTANG DTF,MO,2
NEOSHO POLICE DEPT,MO,5
NEW BLOOMFIELD POLICE DEPT,MO,5
NEW FRANKLIN POLICE DEPT,MO,6
NEW LONDON POLICE DEPT,MO,4
NEW MADRID COUNTY SHERIFF DEPT,MO,9
NEW MADRID CTY R-1  POLICE K-12,MO,17
NEW MADRID POLICE DEPT,MO,26
NEWBURG POLICE DEPT,MO,2
NEWTON COUNTY SHERIFF DEPT,MO,9
NIANGUA POLICE DEPT,MO,21
NIXA POLICE DEPT,MO,27
NOEL MARSHALS OFFICE,MO,1
NORMANDY POLICE DEPT,MO,1
NORTH MO DTF,MO,1
OFALLON POLICE DEPARTMENT,MO,16
OREGON COUNTY SHERIFF DEPT,MO,1
ORONOGO POLICE DEPARTMENT,MO,3
ORRICK POLICE DEPT,MO,3
OSAGE COUNTY SHERIFF DEPT,MO,1
OSCEOLA POLICE DEPT,MO,4
OZARK COUNTY  SHERIFF DEPT,MO,12
OZARK POLICE DEPARTMENT,MO,2
PACIFIC POLICE DEPT,MO,13
PEMISCOT COUNTY SHERIFF DEPT,MO,12
PERRY COUNTY SHERIFF DEPT,MO,1
PETTIS COUNTY SHERIFF DEPT,MO,67
PIEDMONT POLICE DEPT,MO,1
PIKE COUNTY SHERIFF DEPT,MO,26
PILOT GROVE CITY POLICE,MO,3
PINEVILLE POLICE DEPT,MO,1
PLATTSBURG POLICE DEPT,MO,11
PLEASANT VALLEY POLICE DEPT,MO,4
POPLAR BLUFF POLICE DEPT,MO,2
PORTAGEVILLE POLICE DEPT,MO,1
PULASKI COUNTY SHERIFF DEPT,MO,1
PURDY POLICE DEPT,MO,1
RALLS COUNTY SHERIFF DEPT,MO,5
RAY COUNTY SHERIFF DEPT,MO,7
REPUBLIC POLICE DEPARTMENT,MO,3
RICH HILL POLICE DEPT,MO,3
RICHLAND POLICE DEPT,MO,1
RIVERVIEW POLICE DEPT,MO,6
ROLLA POLICE DEPT,MO,1
SAINT ANN POLICE DEPT,MO,1
SAINT CHARLES COUNTY SHERIFFS DEPT,MO,1
SAINT CLAIR COUNTY SHERIFF DEPT.,MO,31
SAINT FRANCOIS COUNTY SHERIFF DEPT,MO,53
SAINT GENEVIEVE CTY SHERIFF DEPT,MO,2
SAINT JOSEPH POLICE DEPT,MO,11
SAINT LOUIS COUNTY POLICE DEPT,MO,3
SAINT LOUIS METRO POLICE DEPT,MO,1
SALINE COUNTY SHERIFF DEPT,MO,42
SAVANNAH POLICE DEPARTMENT,MO,6
SCHUYLER COUNTY SHERIFFS OFFICE,MO,3
SCOTLAND COUNTY SHERIFF DEPT,MO,1
SCOTT CITY POLICE DEPT,MO,43
SCOTT COUNTY SHERIFF OFFICE,MO,15
SEDALIA POLICE DEPT,MO,6
SELIGMAN POLICE DEPT,MO,5
SENECA POLICE DEPT,MO,1
SHELBINA POLICE DEPT,MO,12
SOUTHWEST CITY POLICE DEPARTMENT,MO,1
SPRINGFIELD AIRPORT POLICE DEPT,MO,3
SPRINGFIELD POLICE DEPT,MO,1
ST. CHARLES CO POLICE DEPARTMENT,MO,6
STODDARD COUNTY SHERIFF DEPT,MO,26
STONE COUNTY SHERIFF DEPT,MO,2
STOVER POLICE DEPT,MO,18
STURGEON POLICE DEPT,MO,11
SUGAR CREEK POLICE DEPT,MO,3
SWEET SPRINGS POLICE DEPT,MO,4
TERRE DU LAC POLICE DEPT,MO,8
THAYER POLICE DEPT,MO,1
TOWN OF WEST SULLIVAN POLICE DEPT,MO,3
TRENTON POLICE DEPT,MO,4
TROY POLICE DEPARTMENT,MO,5
UNION POLICE DEPT,MO,8
UNIONVILLE POLICE DEPT,MO,1
US MARSHAL SERVICE ST LOUIS,MO,1
VELDA CITY POLICE DEPT,MO,2
VERNON COUNTY SHERIFF DEPT,MO,15
VERONA POLICE DEPT,MO,3
VERSAILLES POLICE DEPT,MO,1
WALNUT GROVE POLICE,MO,1
WARRENTON POLICE DEPT,MO,3
WASHINGTON COUNTY SHERIFF DEPT,MO,1
WASHINGTON POLICE DEPT,MO,1
WAVERLY POLICE DEPT,MO,16
WAYNE COUNTY SHERIFF DEPT,MO,2
WAYNESVILLE POLICE DEPT,MO,18
WEBB CITY POLICE DEPT,MO,2
WEBSTER COUNTY SHERIFF DEPT,MO,47
WELLSTON POLICE DEPT,MO,12
WEST PLAINS POLICE DEPT,MO,6
WESTON POLICE DEPT,MO,9
WHEATON POLICE DEPT,MO,7
WILLOW SPRINGS POLICE DEPT,MO,15
WINFIELD POLICE DEPT,MO,6
WINONA POLICE DEPT,MO,17
WRIGHT COUNTY SHERIFF OFFICE,MO,11
ADAMS COUNTY SHERIFF DEPT,MS,7
ALCORN COUNTY SHERIFF DEPT,MS,10
ATTALA COUNTY SHERIFF DEPT,MS,2
BAY SPRINGS POLICE DEPT,MS,4
BAY ST LOUIS POLICE DEPT,MS,15
BELMONT POLICE DEPT,MS,1
BILOXI POLICE DEPT,MS,75
BOONEVILLE POLICE DEPT,MS,11
BRANDON POLICE DEPT,MS,5
BRUCE POLICE DEPT,MS,5
BYHALIA POLICE DEPT,MS,2
CALHOUN COUNTY SHERIFF DEPT,MS,3
CLARKSDALE POLICE DEPT,MS,8
CLEVELAND POLICE DEPT,MS,6
CLINTON POLICE DEPT,MS,8
COAHOMA COUNTY SHERIFF DEPT,MS,5
COFFEEVILLE POLICE DEPT,MS,1
COLUMBUS POLICE DEPT,MS,24
COPIAH COUNTY SHERIFF DEPT,MS,3
CRYSTAL SPRINGS POLICE DEPT,MS,6
DECATUR POLICE DEPT,MS,3
DESOTO COUNTY SHERIFF DEPT,MS,20
DIAMONDHEAD POLICE DEPARTMENT,MS,3
DIBERVILLE POLICE DEPT,MS,41
FARMINGTON POLICE DEPT,MS,1
FBI JACKSON DIV GULFPORT RES AGENCY,MS,16
FLORENCE POLICE DEPT,MS,3
FLOWOOD POLICE DEPT,MS,4
FOREST POLICE DEPT,MS,3
FORREST COUNTY SHERIFF DEPT,MS,22
FULTON POLICE DEPT,MS,2
GEORGE COUNTY SHERIFF DEPT,MS,2
GREENE COUNTY SHERIFF DEPT,MS,14
GREENWOOD POLICE DEPT,MS,6
GRENADA COUNTY SHERIFF DEPT,MS,16
GRENADA POLICE DEPT,MS,13
GULFPORT POLICE DEPT,MS,35
GUNTOWN POLICE DEPT,MS,6
HARRISON COUNTY SHERIFF DEPT,MS,23
HEIDELBERG POLICE DEPT,MS,4
HERNANDO POLICE DEPT,MS,15
HINDS COMM COLLEGE POLICE HI_ED,MS,3
HINDS COUNTY SHERIFF DEPT,MS,23
HOLLY SPRINGS POLICE DEPT,MS,3
HOLMES COMM COLLEGE POLICE HI_ED,MS,4
JACKSON COUNTY SHERIFF DEPT,MS,30
JACKSON POLICE DEPT,MS,7
JASPER COUNTY SHERIFF DEPT,MS,8
JONES COUNTY SHERIFF DEPT,MS,6
KEMPER COUNTY SHERIFF DEPT,MS,1
KOSCIUSKO POLICE DEPT,MS,12
LAFAYETTE COUNTY METRO NARCOTICS,MS,10
LAFAYETTE COUNTY SHERIFF DEPT,MS,13
LAUDERDALE COUNTY SHERIFF DEPT,MS,6
LEAKE COUNTY SHERIFF DEPT,MS,4
LEE COUNTY SHERIFF DEPT,MS,7
LEFLORE COUNTY SHERIFF DEPT,MS,4
LONG BEACH POLICE DEPT,MS,6
LOUISVILLE POLICE DEPT,MS,4
LOWNDES COUNTY SHERIFF DEPT,MS,3
MACON POLICE DEPT,MS,2
MADISON COUNTY SHERIFF DEPT,MS,28
MARION POLICE DEPT,MS,1
MARSHALL COUNTY SHERIFF DEPT,MS,9
MCCOMB POLICE DEPT,MS,12
MERIDIAN POLICE DEPT,MS,26
MONROE COUNTY SHERIFF DEPT,MS,2
MONTGOMERY COUNTY SHERIFF DEPT,MS,2
MS BUREAU OF NARCOTICS,MS,30
MS DEPT OF CORRECTIONS,MS,20
MS DEPT OF PUBLIC SAFETY,MS,59
MS DEPT OF TRANSPORTATION,MS,7
MS STATE UNIVERSITY POLICE HI_ED,MS,5
MYRTLE POLICE DEPT,MS,1
NATCHEZ POLICE DEPT,MS,10
OCEAN SPRINGS POLICE DEPT,MS,4
OKTIBBEHA COUNTY SHERIFF DEPT,MS,2
OLIVE BRANCH POLICE DEPT,MS,8
OXFORD POLICE DEPT,MS,10
PEARL POLICE DEPT,MS,7
PEARL RIVER VALLEY RESERVOIR PD,MS,102
PHILADELPHIA POLICE DEPT,MS,6
PONTOTOC POLICE DEPT,MS,3
PRENTISS POLICE DEPT,MS,2
RALEIGH POLICE DEPT,MS,3
RANKIN COUNTY SHERIFF DEPT,MS,18
RIDGELAND POLICE DEPT,MS,12
SALTILLO POLICE DEPT,MS,3
SENATOBIA POLICE DEPT,MS,7
SIMPSON COUNTY SHERIFF DEPT,MS,3
SMITH COUNTY SHERIFF DEPT,MS,2
SOUTHAVEN POLICE DEPT,MS,20
STARKVILLE POLICE DEPT,MS,19
TALLAHATCHIE COUNTY SHERIFF DEPT,MS,2
TATE COUNTY SHERIFF DEPT,MS,3
TUPELO POLICE DEPT,MS,38
UNIV OF SOUTHERN MS POLICE HI_ED,MS,2
US DHS ICE PEARL,MS,17
US DOI NPS NATCHEZ TRACE PKWY,MS,9
VAIDEN POLICE DEPT,MS,2
WASHINGTON COUNTY SHERIFF DEPT,MS,6
WAYNE COUNTY SHERIFF DEPT,MS,11
WEST POINT POLICE DEPT,MS,4
YALOBUSHA COUNTY SHERIFF DEPT,MS,3
ANACONDA DEER LODGE CTY POLICE DEPT,MT,2
BAKER POLICE DEPT,MT,7
BEAVERHEAD CTY SHERIFF DEPT,MT,14
BELGRADE POLICE DEPT,MT,4
BIG HORN CO SHERIFF DEPT,MT,5
BLACKFEET TRIBAL LAW ENFORCEMENT,MT,2
BLAINE CTY SHERIFF DEPT,MT,19
BRIDGER POLICE DEPT,MT,4
BROADWATER CTY SHERIFF DEPT,MT,9
CARTER CTY SHERIFF DEPT,MT,2
CASCADE CTY SHERIFF,MT,5
CHINOOK POLICE DEPT,MT,2
CHOUTEAU CTY SHERIFF DEPT,MT,6
COLUMBIA FALLS POLICE DEPT,MT,3
CONRAD POLICE DEPT,MT,2
CUT BANK POLICE DEPT,MT,3
DANIELS CTY SHERIFF DEPT,MT,3
DILLON POLICE DEPT,MT,8
EUREKA POLICE DEPT,MT,6
FALLON CTY SHERIFF DEPT,MT,9
FLATHEAD CTY SHERIFF DEPT,MT,52
FORT BENTON POLICE DEPT,MT,2
FROMBERG POLICE DEPT,MT,1
GALLATIN AIRPORT AUTHORITY,MT,8
GALLATIN CTY SHERIFF DEPT,MT,80
GARFIELD CTY SHERIFF DEPT,MT,5
GLACIER CTY SHERIFF DEPT,MT,26
GLASGOW POLICE DEPT,MT,7
GOLDEN VALLEY CTY SHERIFF,MT,5
GRANITE CTY SHERIFF DEPT,MT,3
GREAT FALLS POLICE DEPT,MT,129
HAVRE POLICE DEPT,MT,18
HOT SPRINGS POLICE DEPT,MT,2
LAUREL POLICE DEPT,MT,1
LEWIS AND CLARK CTY SHERIFF DEPT,MT,1
LEWISTOWN POLICE DEPT,MT,5
LINCOLN CTY SHERIFF DEPT,MT,9
MCCONE COUNTY SHERIFFS OFFICE,MT,6
MEAGHER CTY SHERIFF DEPT,MT,30
MISSOULA CTY SHERIFF DEPT,MT,23
MISSOULA POLICE DEPT,MT,19
MT DEPT OF CORR HELENA,MT,24
MT DEPT OF FISH/WILDLIFE/PARKS  1,MT,3
MT DEPT OF LIVESTOCK,MT,1
MT DOJ GAMBLING CONTROL DIVISION,MT,10
MT HIGHWAY PATROL HELENA,MT,133
MT STATE PRISON,MT,12
MUSSELSHELL CTY SHERIFF,MT,1
PARK CTY SHERIFF DEPT,MT,7
PETROLEUM CTY SHERIFF DEPT,MT,14
PHILLIPS CTY SHERIFF DEPT,MT,2
POLSON POLICE DEPT,MT,8
PONDERA CTY SHERIFF DEPT,MT,6
POWDER RIVER CTY SHERIFF DEPT,MT,6
POWELL CTY SHERIFF DEPT,MT,26
PRAIRIE CO SHERIFF DEPT,MT,8
RICHLAND CTY SHERIFF OFFICE,MT,17
ROOSEVELT CTY SHERIFF DEPT,MT,13
SANDERS CTY SHERIFF DEPT,MT,9
SHERIDAN CTY SHERIFF DEPT,MT,8
SWEET GRASS CTY SHERIFF DEPT,MT,17
TOOLE CTY SHERIFF DEPT,MT,14
VALLEY CTY SHERIFF DEPT,MT,17
WHEATLAND CTY SHERIFF OFFICE,MT,2
WHITEFISH POLICE DEPT,MT,5
YELLOWSTONE CTY SHERIFF DEPT,MT,5
AHOSKIE POLICE DEPT,NC,7
ALAMANCE COUNTY SHERIFFS OFFICE,NC,1
ALBEMARLE POLICE DEPARTMENT,NC,2
ALBERT J ELLIS AIRPORT POLICE DEPT,NC,1
ALEXANDER COUNTY SHERIFFS OFFICE,NC,1
ALLEGHANY COUNTY SHERIFFS OFFICE,NC,1
ANDREWS POLICE DEPARTMENT,NC,23
ASHE COUNTY SHERIFFS OFFICE,NC,1
ASHEBORO POLICE DEPT,NC,1
ASHEVILLE POLICE DEPARTMENT,NC,1
AVERY COUNTY SHERIFFS OFFICE,NC,30
AYDEN POLICE DEPARTMENT,NC,40
BALD HEAD ISLAND POLICE,NC,6
BANNER ELK POLICE DEPT,NC,1
BEAUFORT COUNTY SHERIFFS OFFICE,NC,1
BEAUFORT POLICE DEPT,NC,1
BEECH MOUNTAIN POLICE DEPT,NC,4
BELMONT POLICE DEPARTMENT,NC,7
BERTIE COUNTY SHERIFFS OFFICE,NC,1
BETHEL POLICE DEPARTMENT,NC,107
BISCOE POLICE DEPARTMENT,NC,8
BLADEN COUNTY SHERIFFS OFFICE,NC,7
BLADENBORO POLICE DEPARTMENT,NC,3
BOONE POLICE DEPARTMENT,NC,15
BRIDGETON POLICE DEPARTMENT,NC,6
BROUGHTON POLICE DEPARTMENT,NC,6
BRUNSWICK COUNTY SHERIFFS OFFICE,NC,99
BRYSON CITY POLICE DEPT,NC,6
BUNCOMBE COUNTY SHERIFF,NC,9
BURGAW POLICE DEPARTMENT,NC,9
BURKE COUNTY SHERIFFS OFFICE,NC,19
BURNSVILLE POLICE DEPARTMENT,NC,2
BUTNER PUBLIC SAFETY,NC,1
CABARRUS COUNTY SHERIFFS OFFICE,NC,27
CALDWELL COUNTY SHERIFFS OFFICE,NC,32
CAMDEN COUNTY SHERIFFS OFFICE,NC,29
CANDOR POLICE DEPT,NC,1
CAROLINA BEACH POLICE DEPT,NC,14
CARTHAGE POLICE DEPT,NC,4
CARY POLICE DEPT,NC,27
CASWELL COUNTY SHERIFF,NC,9
CATAWBA COUNTY SHERIFFS OFFICE,NC,27
CHAPEL HILL POLICE DEPT,NC,1
CHARLOTTE MECKLENBURG POLICE DEPT,NC,16
CHEROKEE COUNTY SHERIFFS OFFICE,NC,25
CHERRYVILLE POLICE DEPT,NC,10
CHINA GROVE POLICE DEPT,NC,7
CHOWAN COUNTY SHERIFFS OFFICE,NC,3
CLAY COUNTY SHERIFFS OFFICE,NC,20
CLAYTON POLICE DEPT,NC,2
CLEVELAND COUNTY SHERIFFS OFFICE,NC,25
COATS POLICE DEPARTMENT,NC,39
COLUMBUS COUNTY SHERIFFS OFFICE,NC,1
CONCORD POLICE DEPT,NC,11
CORNELIUS POLICE DEPT,NC,7
CRAMERTON POLICE DEPT,NC,19
CRAVEN COUNTY SHERIFF DEPT,NC,15
CREEDMOOR POLICE DEPT,NC,2
CUMBERLAND COUNTY ALCOHOL ENF,NC,10
CUMBERLAND COUNTY SHERIFF DEPT,NC,18
CURRITUCK COUNTY SHERIFF DEPT,NC,85
DARE COUNTY SHERIFF OFFICE,NC,8
DAVIDSON COUNTY SHERIFF OFFICE,NC,10
DAVIDSON POLICE DEPT,NC,2
DAVIE COUNTY SHERIFF DEPT,NC,1
DOBSON POLICE DEPT,NC,2
DREXEL POLICE DEPT,NC,4
DUCK POLICE DEPT,NC,12
DUNN POLICE DEPARTMENT,NC,18
DURHAM POLICE DEPT,NC,71
EDEN POLICE DEPT,NC,11
EDENTON POLICE DEPT,NC,38
EDGECOMBE COUNTY SHERIFF DEPT,NC,7
ELIZABETH CITY POLICE DEPT,NC,4
ELKIN POLICE DEPT,NC,1
ELON POLICE DEPT,NC,3
ENFIELD POLICE DEPT,NC,1
FARMVILLE POLICE DEPT,NC,66
FAYETTEVILLE POLICE DEPT,NC,31
FOREST CITY POLICE DEPT,NC,6
FORSYTH COUNTY SHERIFF OFFICE,NC,1
FORT FISHER HISTORIC SITE POLICE,NC,1
FOXFIRE VILLAGE POLICE DEPT,NC,8
FRANKLIN COUNTY SHERIFF DEPT,NC,22
FRANKLIN POLICE DEPT,NC,2
FRANKLINTON POLICE DEPT,NC,1
GARNER POLICE DEPT,NC,11
GASTON CO SHERIFF DEPT,NC,25
GASTON COUNTY POLICE DEPT,NC,2
GASTONIA CITY POLICE DEPT,NC,49
GLEN ALPINE POLICE DEPT,NC,1
GOLDSBORO POLICE DEPT,NC,2
GRAHAM COUNTY SHERIFF DEPT,NC,6
GRAHAM POLICE DEPT,NC,7
GRANITE FALLS POLICE DEPT,NC,8
GRANITE QUARRY POLICE DEPT,NC,2
GRANVILLE COUNTY SHERIFF DEPT,NC,1
GREATER ASHEVILLE REG AIRPORT DPS,NC,15
GREENE COUNTY SHERIFF DEPT,NC,15
GREENVILLE POLICE DEPT,NC,9
GRIFTON POLICE DEPT,NC,5
GUILFORD COUNTY SHERIFF DEPT,NC,10
HALIFAX COUNTY SHERIFF DEPT,NC,20
HAMLET POLICE DEPT,NC,4
HARNETT COUNTY SHERIFF DEPT,NC,20
HAYWOOD COUNTY SHERIFF DEPT,NC,9
HENDERSON POLICE DEPT,NC,9
HERTFORD COUNTY SHERIFF DEPT,NC,5
HIGH POINT POLICE DEPT,NC,31
HIGHLANDS POLICE DEPT,NC,11
HILLSBOROUGH POLICE DEPT,NC,1
HOLLY RIDGE POLICE DEPT,NC,1
HOLLY SPRINGS POLICE,NC,8
HOPE MILLS POLICE DEPT,NC,55
HUNTERSVILLE POLICE DEPT,NC,4
HYDE COUNTY SHERIFF DEPT,NC,11
JACKSON COUNTY SHERIFF DEPT,NC,30
JACKSON POLICE DEPT,NC,1
JONES COUNTY SHERIFF DEPT,NC,16
JONESVILLE POLICE DEPT,NC,2
KENANSVILLE POLICE DEPT,NC,1
KENLY POLICE DEPT,NC,5
KERNERSVILLE POLICE DEPT,NC,4
KILL DEVIL HILLS POLICE DEPT,NC,3
KING POLICE DEPT,NC,36
KINGS MOUNTAIN POLICE DEPT,NC,6
KINSTON DEPARTMENT OF PUBLIC SAFETY,NC,15
KITTY HAWK POLICE DEPT,NC,5
KURE BEACH POLICE DEPT,NC,20
LAKE LURE POLICE DEPT,NC,2
LANDIS POLICE DEPT,NC,1
LELAND POLICE DEPT,NC,3
LENOIR COUNTY SHERIFF DEPT,NC,2
LENOIR POLICE DEPT,NC,12
LIBERTY POLICE DEPT,NC,5
LILLINGTON POLICE DEPT,NC,4
LINCOLNTON POLICE DEPT,NC,7
LITTLETON POLICE DEPT,NC,2
LONG VIEW POLICE DEPT,NC,4
LOUISBURG COLLEGE POLICE HI_ED,NC,10
LOUISBURG POLICE DEPT,NC,3
LOWELL POLICE DEPT,NC,13
LUMBERTON POLICE DEPT,NC,13
MACON COUNTY SHERIFF DEPT,NC,14
MADISON POLICE DEPT,NC,6
MANTEO POLICE DEPT,NC,1
MARION POLICE DEPT,NC,7
MARS HILL POLICE DEPT,NC,15
MARTIN COUNTY SHERIFF DEPT,NC,5
MATTHEWS POLICE DEPT,NC,6
MAXTON POLICE DEPT,NC,1
MAYODAN POLICE DEPT,NC,14
MAYSVILLE POLICE DEPT,NC,8
MCDOWELL COUNTY SHERIFF DEPT,NC,14
MINT HILL POLICE DEPT,NC,8
MOCKSVILLE POLICE DEPT,NC,2
MOORESVILLE POLICE DEPT,NC,12
MOREHEAD CITY POLICE DEPT,NC,27
MORGANTON DEPT OF PUBLIC SAFETY,NC,12
MOUNT AIRY POLICE DEPT,NC,7
MOUNT GILEAD POLICE DEPT,NC,16
MOUNT HOLLY POLICE DEPT,NC,7
MOUNT OLIVE POLICE DEPT,NC,15
MURFREESBORO POLICE DEPT,NC,15
MURPHY POLICE DEPT,NC,19
NAGS HEAD POLICE DEPT,NC,1
NAVASSA POLICE DEPT,NC,6
