Station Name (LEA),State,Records
GREENWOOD POLICE DEPT,AR,14
GURDON POLICE DEPT,AR,51
HARRISON POLICE DEPT,AR,6
HEBER SPRING POLICE DEPT,AR,17
HEMPSTEAD COUNTY SHERIFF DEPT,AR,7
HIGGINSON POLICE DEPARTMENT,AR,7
HIGHFILL POLICE DEPT,AR,3
HIGHLAND POLICE DEPT,AR,8
HOPE POLICE DEPT,AR,2
HOT SPRINGS POLICE DEPT,AR,41
HOXIE POLICE DEPT,AR,21
HUNTINGTON POLICE DEPT,AR,4
HUNTSVILLE POLICE DEPT,AR,1
INDEPENDENCE COUNTY SHERIFF OFFICE,AR,62
IZARD COUNTY SHERIFF DEPT,AR,11
JACKSON COUNTY SHERIFFS DEPARTMENT,AR,1
JACKSONVILLE POLICE DEPT,AR,9
JASPER POLICE DEPARTMENT,AR,8
JEFFERSON COUNTY SHERIFF DEPT,AR,2
JOHNSON POLICE DEPT,AR,3
JUDSONIA POLICE DEPT,AR,3
LAVACA POLICE DEPT,AR,14
LAWRENCE COUNTY SHERIFFS OFFICE,AR,13
LEE COUNTY SHERIFF DEPT,AR,8
LINCOLN COUNTY SHERIFF DEPT,AR,7
LITTLE FLOCK POLICE DEPT,AR,8
LITTLE ROCK POLICE DEPT,AR,39
LONOKE COUNTY SHERIFF DEPT,AR,31
LOWELL POLICE DEPT,AR,2
MADISON COUNTY SHERIFF DEPT,AR,9
MADISON POLICE DEPT,AR,7
MAGAZINE POLICE DEPT,AR,5
MAGNOLIA POLICE DEPT,AR,5
MALVERN POLICE DEPARTMENT,AR,1
MAMMOTH SPRING POLICE DEPT,AR,3
MANILA POLICE DEPT,AR,4
MANSFIELD POLICE DEPT,AR,8
MARION POLICE DEPT,AR,26
MARKED TREE POLICE DEPT,AR,3
MAUMELLE POLICE DEPT,AR,1
MCCRORY CITY POLICE,AR,12
MENA POLICE DEPT,AR,17
MENIFEE POLICE DEPT,AR,1
MINERAL SPRINGS POLICE DEPT,AR,9
MISSISSIPPI COUNTY SHERIFF DEPT,AR,17
MONTGOMERY CTY SHERIFF DEPT,AR,21
MONTICELLO POLICE DEPT,AR,2
MORRILTON POLICE DEPT,AR,4
MOUNTAIN HOME POLICE DEPT,AR,10
NEWTON COUNTY SHERIFF DEPT,AR,8
NORPHLET POLICE DEPT.,AR,5
NORTH LITTLE ROCK POLICE DEPT,AR,53
NW ARKANSAS COMM COLLEGE PD HI_ED,AR,11
OAK GROVE TOWNSHIP POLICE DEPT,AR,2
OPPELO POLICE DEPT,AR,2
OSCEOLA POLICE DEPT,AR,8
OUACHITA COUNTY SHERIFF DEPT,AR,32
OZARK POLICE DEPARTMENT,AR,29
PANGBURN POLICE DEPT,AR,3
PARAGOULD POLICE DEPT,AR,8
PARIS POLICE DEPT,AR,3
PHILLIPS COUNTY SHERIFF DEPT,AR,9
PIKE COUNTY SHERIFF DEPT,AR,28
PLUMERVILLE POLICE DEPT,AR,12
POCAHONTAS POLICE DEPT,AR,36
POINSETT COUNTY  SHERIFF  OFFICE,AR,1
POPE COUNTY SHERIFF DEPT.,AR,30
PRAIRIE COUNTY SHERIFF DEPT,AR,12
PRESCOTT POLICE DEPT,AR,8
PULASKI COUNTY SHERIFF DEPT,AR,5
RANDOLPH COUNTY SHERIFFS DEPT,AR,3
RAVENDEN POLICE DEPT,AR,5
REDFIELD POLICE DEPT,AR,2
ROGERS POLICE  DEPT,AR,1
RUSSELLVILLE POLICE DEPT,AR,9
SAINT CHARLES POLICE DEPT,AR,5
SAINT FRANCIS COUNTY SHERIFF DEPT,AR,5
SALINE COUNTY SHERIFF OFFICE,AR,20
SCOTT COUNTY SHERIFF DEPT,AR,21
SEARCY POLICE DEPT,AR,6
SHARP COUNTY SHERIFF DEPT,AR,13
SHERIDAN POLICE DEPT,AR,4
SHERWOOD POLICE DEPT,AR,9
SILOAM SPRINGS POLICE DEPT,AR,33
SMACKOVER POLICE DEPT,AR,5
SPRINGDALE POLICE DEPT,AR,22
STAMPS POLICE DEPT,AR,1
STONE COUNTY SHERIFF DEPT,AR,2
TEXARKANA POLICE DEPT,AR,54
TONTITOWN POLICE DEPT,AR,3
UNION COUNTY SHERIFF DEPT,AR,1
UNIV OF AL LITTLE ROCK POLICE HI_ED,AR,34
UNIV OF AR MED SCIENCE POLICE HI_ED,AR,14
UNIV OF AR POLICE DEPT  HI_ED,AR,3
US FBI LITTLE ROCK,AR,5
VAN BUREN POLICE DEPT,AR,15
WALNUT RIDGE POLICE DEPT,AR,15
WARD POLICE DEPT,AR,23
WASHINGTON COUNTY SHERIFF DEPT,AR,73
WEST HELENA POLICE DEPT,AR,4
WEST MEMPHIS POLICE DEPT,AR,2
WYNNE POLICE DEPT,AR,9
YELL COUNTY SHERIFF DEPT,AR,1
AAPC TUCSON,AZ,114
APACHE COUNTY SHERIFF DEPT,AZ,6
APACHE JUNCTION POLICE DEPT,AZ,16
AVONDALE POLICE DEPT,AZ,23
AZ DEPT OF AGRICULTURE,AZ,22
AZ DEPT OF FISH AND GAME,AZ,127
AZ STATE UNIV POLICE  HI_ED,AZ,1
AZ US ICE ENFORCEMENT  REMOVAL OPS,AZ,54
BENSON POLICE DEPT,AZ,6
BUCKEYE POLICE DEPT,AZ,37
BULLHEAD CITY POLICE DEPT,AZ,13
CASA GRANDE POLICE DEPT,AZ,12
CHANDLER POLICE DEPT,AZ,2
CHINO VALLEY POLICE DEPT,AZ,7
