Item Name,Quantity
"ARMOR SET,SUPPLEMENTAL,SMALL ARMS-FRAGMENTATION PROTECTIVE",15
"ARMOR, HELMET",8
"ARMOR, PERSONAL",19
"ARMOR, VEST",5
"ARMOR,GROIN PLATE",25
"ARMOR,SUPPLEMENTAL,SMALL ARMS-FRAGMENTATION PROTECTIVE",102
"ARMOR,TRANSPARENT,VEHICULAR WINDOW",8
ARMY COMBAT BOOT HOT WEATHER FR,4
"ARRESTER,ELECTRICAL SURGE",38
"ARRESTER,LIGHTNING",3
"ARROW SET,SURVEYING",5
ASPIRATOR,1
ASS. INTERCH BTW WEPS IN 2 OR MORE CLASS,277
"ASSAULT KIT,MEDICAL",117
ASSAULT LOAD BEARING VEST,14
ASSAULT PACK,4848
"ASSEMBLY TOOL,FRONT",3
"ASSEMBLY,COVER",16
"ASSEMBLY,HELMET SEARCHLIGHT",1
ASSULT PACK,85
"ASSY,CYLINDER VALVE",8
AT-FP CHECK POINT KIT,4
ATHLETIC AND SPORTING EQUIPMENT,2149
ATV PARTS,4
"AUGER MACHINE,PIPE AND SEWER,POWER OPERATED",1
"AUGER,EARTH,PORTABLE",2
"AUGER,EARTH,TRACTOR MOUNTING",4
"AUGER,EARTH,TRUCK MOUNTED",1
"AUTOMOBILE,SEDAN",14
"AUTOMOBILE,UTILITY",1
AVIATORS NIGHT VISI,36
AVIATORS NIGHT VISION SYSTEM,2
"AX,EMERGENCY ESCAPE AND RESCUE",2
"AX,MULTIPURPOSE",1
"AX,PICK HEAD",15
"AX,SINGLE BIT",359
AXE,16
"AXE,FIREMAN",2
"AXE,SURVIVAL",452
"AXLE ASSEMBLY,AUTOMOTIVE,DRIVING",5
"AXLE,VEHICULAR,NONDRIVING",1
"BACK ASSEMBLY,SEAT",4
BACK EXTENSION EQUIPMENT,1
"BACK REST,LITTER",20
"BACKHOE,CRANE-SHOVEL",1
BACKLASH TOOL SET-X,2
BACKPACK,7
BACKPACK PUMP OUTFIT,1
"BACKPACK,DIVER'S EQUIPMENT",2
"BACKPACK,LADDER TACTICAL ASSAULT",5
"BACKPACK,MEDICAL",5
"BACKPACK,MEDICAL STORAGE",2
"BACKPACK,MEDICAL SUPPLY",5
"BACKPACK,MEDICAL TRAUMA",6
"BACKPACK,MEDICAL,JUMPABLE TRAINING",27
"BACKPACK,MEDICAL,TACTICAL FIELD CARE",22
"BACKPACK,RUCKSACK,W",21
"BACKPACK,SAMPLING,ENVIRONMENTAL",1
"BACKPACK,TACTICAL",1
"BACKPACK,TRAUMA,PARARESCUE JUMP PACK",6
BACKSCATTER X-RAY VAN,1
"BAFFLE ASSY,HYD PUM",4
"BAFFLE,AIRFLOW,AIRCRAFT RECIPROCATING ENGINE",5
"BAFFLE,OPTICAL",3
BAG,8
"BAG ASSEMBLY,STOWAG",4
